,bmw,audi,acura,infiniti,cadillac,price,performance,driving,luxury,engine,tech
bmw,0.0,1.71349886666519,1.2818819463362419,1.9308003370861448,1.778048481505317,1.7429858461810066,1.7362893487967201,1.7324384787472036,1.5390133492978753,1.5490782017995068,1.1691655956970821
audi,0.0,0.0,2.179914670433833,2.7575017664368064,2.8719652787196526,1.9026504376701543,2.0585221702086525,2.02019025431955,2.139187158152435,1.5303172653031727,1.9032371322238606
acura,0.0,0.0,0.0,3.7720110534438676,2.5117862137525484,1.6031959086545242,1.7610688240773622,1.70893567759207,2.1521172958208457,1.5513238344062272,2.970296511475753
infiniti,0.0,0.0,0.0,0.0,4.087686082340276,1.9472630731239495,2.1513306346452588,2.2220946915351507,2.327722432153899,1.843016240381382,2.734936285533068
cadillac,0.0,0.0,0.0,0.0,0.0,2.0029390402513387,1.941881125694962,1.7160354552780017,3.2683773876133513,0.9316068393160684,0.6171670067035849
price,0.0,0.0,0.0,0.0,0.0,0.0,2.0276016488760713,1.4182635816348734,2.255489368599596,1.4636701557957645,2.044337172390272
performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2871769628353436,3.5272948710393464,2.379867452585285,2.6390990830588446
driving,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0049710024855014,1.9326749677973378,2.604755944931164
luxury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3932353243548885,2.2843871741084807
engine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9731324739866438
tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
